Movie_Name,Release_Year,Metascore,User_Score,Average,User_Ratings,Duration_Minutes,Genre
Luca,2021,0.71,0.74,0.72,216000,95.0,Buddy Comedy|Coming-Of-Age|Computer Animation|Fairy Tale|Sea Adventure|Adventure|Animation|Comedy|Drama|Family
Red Sparrow,2018,0.53,0.66,0.6,214000,140.0,Psychological Thriller|Spy|Action|Drama|Thriller
Puss in Boots: The Last Wish,2022,0.73,0.78,0.76,214000,102.0,Animal Adventure|Computer Animation|Dark Comedy|Fairy Tale|Psychological Drama|Quest|Swashbuckler|Action|Adventure|Animation
First Man,2018,0.84,0.73,0.78,213000,141.0,Docudrama|Period Drama|Tragedy|Biography|Drama|History
Frozen II,2019,0.64,0.68,0.66,212000,103.0,Computer Animation|Dark Fantasy|Fairy Tale|Pop Musical|Quest|Adventure|Animation|Comedy|Drama|Family
The Holdovers,2023,0.82,0.79,0.8,210000,133.0,Holiday Comedy|Comedy|Drama|Holiday
Triangle of Sadness,2022,0.63,0.72,0.68,209000,147.0,Dark Comedy|Satire|Comedy|Drama
Terminator: Dark Fate,2019,0.54,0.62,0.58,208000,128.0,Artificial Intelligence|Cyberpunk|Time Travel|Action|Adventure|Sci-Fi
6 Underground,2019,0.41,0.61,0.51,208000,128.0,Spy|Action|Thriller
Longlegs,2024,0.77,0.66,0.72,207000,101.0,Psychological Horror|Psychological Thriller|Serial Killer|Supernatural Horror|Crime|Horror|Mystery|Thriller
No Hard Feelings,2023,0.59,0.63,0.61,207000,103.0,Raunchy Comedy|Romantic Comedy|Teen Comedy|Teen Romance|Comedy|Romance
The Old Guard,2020,0.7,0.67,0.68,206000,125.0,Globetrotting Adventure|Superhero|Action|Thriller
Palm Springs,2020,0.83,0.74,0.78,206000,90.0,Feel-Good Romance|High-Concept Comedy|Romantic Comedy|Supernatural Fantasy|Time Travel|Comedy|Fantasy|Mystery|Romance|Sci-Fi
Rocketman,2019,0.69,0.73,0.71,206000,121.0,Docudrama|Pop Musical|Rock Musical|Biography|Drama|Music|Musical
Isle of Dogs,2018,0.82,0.78,0.8,205000,101.0,Adult Animation|Stop Motion Animation|Adventure|Animation|Comedy|Drama|Fantasy|Sci-Fi
Death on the Nile,2022,0.52,0.63,0.57,205000,127.0,Whodunnit|Crime|Drama|Mystery
Crazy Rich Asians,2018,0.72,0.69,0.7,204000,120.0,Feel-Good Romance|Romantic Comedy|Comedy|Drama|Romance
Mickey 17,2025,0.74,0.67,0.7,204000,137.0,Alien Invasion|Dark Comedy|Satire|Space Sci-Fi|Adventure|Comedy|Fantasy|Sci-Fi
Bumblebee,2018,0.66,0.67,0.66,203000,114.0,Alien Invasion|Car Action|Teen Adventure|Urban Adventure|Action|Adventure|Sci-Fi
The Power of the Dog,2021,0.89,0.68,0.78,203000,126.0,Period Drama|Psychological Drama|Drama|Western
The Trial of the Chicago 7,2020,0.76,0.77,0.76,202000,129.0,Docudrama|Legal Drama|Political Drama|Drama|History|Thriller
Talk to Me,2022,0.76,0.71,0.74,201000,95.0,Body Horror|Psychological Horror|Supernatural Horror|Teen Horror|Horror|Thriller
Mortal Kombat,2021,0.44,0.61,0.52,200000,110.0,Dark Fantasy|Martial Arts|Supernatural Fantasy|Action|Adventure|Fantasy|Sci-Fi|Thriller
A Man Called Otto,2022,0.51,0.75,0.63,200000,126.0,Quirky Comedy|Comedy|Drama
The Wild Robot,2024,0.85,0.82,0.84,200000,102.0,Animal Adventure|Artificial Intelligence|Computer Animation|Survival|Adventure|Animation|Family|Sci-Fi
The Last Duel,2021,0.67,0.73,0.7,200000,152.0,Action Epic|Costume Drama|Epic|Historical Epic|Drama|History|Thriller
Ralph Breaks the Internet,2018,0.71,0.7,0.7,200000,112.0,Action Epic|Adventure Epic|Buddy Comedy|Computer Animation|Epic|Fantasy Epic|Sci-Fi Epic|Adventure|Animation|Comedy
Babylon,2022,0.61,0.71,0.66,199000,189.0,Costume Drama|Period Drama|Satire|Showbiz Drama|Tragedy|Comedy|Drama
Army of the Dead,2021,0.57,0.58,0.57,198000,148.0,Action Epic|Adventure Epic|Epic|Gun Fu|Heist|Quest|Sci-Fi Epic|Splatter Horror|Supernatural Horror|War Epic
Rampage,2018,0.45,0.61,0.53,198000,107.0,Jungle Adventure|Kaiju|Action|Adventure|Sci-Fi
The Covenant,2023,0.63,0.75,0.69,197000,123.0,Action Epic|Action|Drama|Thriller|War
Heretic,2024,0.71,0.7,0.7,197000,111.0,Psychological Horror|Psychological Thriller|Horror|Thriller
